Image,Name,Description,Detail,Obtained,Level
imgs/anna.png,I will repay it!,Prove your utility to Anna by escaping the ruins.,Complete Anna III.,07/19/2020 00:30,bronze
imgs/anna.png,I want to clear your thoughts this time.,Let Anna convince you not to disappear.,,,silver
imgs/muppy.png,...without this alchemy…,See Muppy’s expulsion overturned and the hostage situation resolved.,Complete Muppy III.,07/19/2020 22:03,bronze
imgs/muppy.png,It’s so warm…,Let Muppy convince you not to disappear.,,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,A Lightbulb Moment,Perform a recipe derivation for the first time.,,07/16/2020 11:24,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Top Tier,Synthesize an item with an Ether Level of 100.,,07/16/2020 11:26,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,We should power up before we go!,Equip each character with his or her ultimate weapon and armor.,Recipes for the ultimate armor are found in <Resource Center: Unorganized Zone>; those for the ultimate weapons are found in <Heart’s Prison>. All 16 pieces of equipment must be equipped simultaneously.,07/22/2020 15:43,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Synthesizer,Synthesize <a href=”https://pixielf.github.io/mka/mkdata.html#recipe-data”>every item</a> in a single playthrough.,,07/22/2020 15:43,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Decisive,Perform a Finishing Burst in order to win a fight.,,,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Veterans,"Across all playthroughs, win 500 battles.",,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Perfect Teamwork,"Across all playthroughs, perform 100 Variable Strikes.",,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Weakness Master,"Across all playthroughs, reach Burst Mode 100 times.",,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Know Thy Enemy,Reach 100% Bestiary completion.,,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Five Figures,"Deal 10,000 damage with a single attack.",,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,*pant* *pant* You’re all so fast…,Win the Marathon Event.,,07/18/2020 19:36,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Bring lotsa money. Okay?,"Hold 100,000 Cole at once.",,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Side Gig,Complete your first <a href=”https://pixielf.github.io/mka/mkdata.html#job-data”>Job</a>.,,07/16/2020 11:43,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Student… or Staff?,Complete all <a href=”https://pixielf.github.io/mka/mkdata.html#job-data”>62 Jobs</a> in one playthrough.,,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Valedictorian,Earn an [A] in <a href=”https://pixielf.github.io/mka/mkdata.html#course-data”>every class</a> taken in one playthrough.,,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Innate Strength,Reach 100% Grow Book completion with a character.,,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Final Form,Reach 100% Grow Book completion with all characters.,,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Grain of Truth,"Across all playthroughs, unlock <a href=”https://pixielf.github.io/mka/mkdata.html#rumor-data”>every rumor</a> in the Gossip Shop.",,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,?????,Enter the Bonus Dungeon.,,,bronze
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,The True Final Boss,Defeat Darkash.,,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Undefeated,Complete the game without losing a single fight.,,,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,I didn’t even get a chance to warm up.,Complete the game without ever allowing a party member to become incapacitated.,,,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Grow… Buck?,Complete the game with all characters still at 0% Grow Book completion.,,07/22/2020 18:14,gold
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,Antithetical,Complete the game without using any Usable items.,"Usable items cannot be used in battle, nor in the field. Key items, such as [Wings of Icarus] and the gathering items (e.g., [Shovel]), as well as those which Nikki uses for «Summon Friend» can be used. Philo may also use Material items for «On-the-Spot Synthesis». Usable items may still be used in synthesis without any restrictions.",,silver
https://tcrf.net/images/e/e6/Mana_Khemia2_A9_Wmap01.png,"Aww, how cute!",Complete the game while entering only 22 battles and defeating only 46 enemies.,Enter only the 22 required battles throughout the game and defeat only those enemies which are required. (Some characters in required fights may summon additional enemies—these summons must be prevented.) (<a href=”https://pixielf.github.io/mka/mkdata.html#aww-how-cute”>More information</a>),,gold
